ad_id,campaign_id,headline_text,body_text,call_to_action,platform,placement,ad_format,category,impressions,clicks,conversions,spend
enriched_ad_1001,campaign_005,"NeatInvoices™","One simple tool for every invoice & every payment O PAID Sign up now, it's free....really! neat®",Learn More,facebook,,image,ecommerce,59050,1185,90,864.97
enriched_ad_1002,campaign_022,DIGITAL TRENDS Best Fitness Trackers,Discover the latest in digital trends with our top-rated best fitness trackers. Stay ahead of time and monitor your health effortlessly.,,,,image,ecommerce,49333,720,73,556.06
enriched_ad_1003,campaign_033,TAKE CARE WITH WHOLE BODY WELLNESS THERAFLU,MAIL.COPION abreva THERATU FLONASE Robitussin Emergenc IMMUNE NASE Available at Publix SAVE NOW ADVIL Elderberry gsk WINC CHA EXCEDRIN Use products as directed.,,,,image,ecommerce,83470,1502,149,1018.32
enriched_ad_1004,campaign_015,Black Friday Sale - Up to 70% OFF,,Shop Now,,,image,ecommerce,21307,297,18,326.35
enriched_ad_1005,campaign_034,NeatInvoices™ - One Simple Tool,Every Invoice & Every Payment Made Easy. Sign Up Now for Free!,"Sign up now, it's free....really! VOID PAID neat",,,image,ecommerce,49483,814,49,703.81
enriched_ad_1006,campaign_024,Today's Refinance Rate,"1.997% - NO REGISTRATION, NO LOGIN - NO SSN REQUIRED.
Calculate Payment
*Terms & conditions apply.
NMLS# 1912050 (nmlsconsumeraccess.org).
1894",,,,image,finance,60858,477,18,1396.85
enriched_ad_1007,campaign_022,Complete Shielding Solutions,"Select™ offers custom, portable shielding solutions with high attenuation for fabricators.",,,,image,ecommerce,52593,827,57,854.23
enriched_ad_1008,campaign_038,Add Up to 57 HP to Your Ram Ecodiesel,,Learn More,,,image,automotive,66287,1046,40,1144.31
enriched_ad_1009,campaign_026,Just a Pinch Recipes,Discover delicious dessert recipes that are quick and easy to make. Perfect for when you're craving something sweet but don't have much time.,Get Recipies,,,image,food,20260,509,64,252.53
enriched_ad_1010,campaign_015,ListRaK - One Platform,,Get Started,,,image,ecommerce,84802,1243,113,1379.48
enriched_ad_1011,campaign_007,JustFashion Now,,Shop Now,,,image,ecommerce,93528,1150,104,1127.39
enriched_ad_1012,campaign_036,CELCOM Let Yourself Shine,,Shop Now,,,image,ecommerce,52902,1073,87,684.84
