ad_id,campaign_id,headline_text,body_text,call_to_action,platform,placement,ad_format,category,impressions,clicks,conversions,spend
enriched_ad_4001,campaign_028,Kids Week at Cascade Hills,"Join us for Kids Week from June 19th to June 23rd and again on June 26th through June 30th. Experience fun activities, educational sessions, and exciting events designed specifically for children in grades K-5.",Register Now!,,,image,education,85286,1741,246,568.53
enriched_ad_4002,campaign_029,Deal of the Week,"Indians love Mexican food. Mirchi Mex is an Indian-Mexican fusion restaurant that combines flavors from both cuisines to create unique dishes like Tacos de Res, Chicken Enchiladas and Churros with Guacamole.",Buy Now,,,image,ecommerce,47257,661,57,469.49
enriched_ad_4003,campaign_030,Outdoor Entertainment LLC,isn't the same without having your favorite music playing! Learn More DR.STEREOC www.dr-stereo.com MODE,,,,video,entertainment,77535,2416,424,546.44
enriched_ad_4004,campaign_006,LEON COUNTY PRESS THE CHEST,"Saturday, June 3, from 10 a.m. -12 p.m. ALL AGES EVENT Donald L. Tucker Civic Center MERGENCY LEGN COUNTY PLUND Ba MEDICAL REVICS ARES Learn More",,,,image,entertainment,90842,2390,420,725.75
enriched_ad_4005,campaign_030,PRESS THE CHEST,"Free CPR Training for the Community ALL AGES EVENT Saturday, June 3 10 a.m. -12 p.m. Donald L. Tucker Civic Center Click here to register LEON COUNTY-Press The Chest-Civic Center-Leon County",Click here to register,,,image,education,91430,2233,222,1046.59
enriched_ad_4006,campaign_035,MEMBER OWNED COMMUNITY PRIDE,COMMUNITY PROUD Florida Credit Unio Insured by NCUA Member or not. Community peo! Be 4 LEARN MORE >,LEARN MORE>,,,image,ecommerce,24009,369,20,328.08
enriched_ad_4007,campaign_016,Fly Easy Fly Gainesville,,Book Now,,,image,travel,40587,633,34,794.7
enriched_ad_4008,campaign_044,WIN BIG IN MAY FLOWERS CONTEST!,Enter Lewis May Flowers contest today and you could win big! Don't miss out on this amazing opportunity to stand a chance at winning.,ENTER TODAY,facebook,,image,entertainment,50817,1208,161,257.96
enriched_ad_4009,campaign_017,Contest! Lewis May Flowers,,Enter Today!,,,image,entertainment,94681,1362,140,603.83
enriched_ad_4010,campaign_018,IDF Chayalim - Israel's Independence Day Celebration,"On the occasion of Israel’s 75th Independence day, we are thrilled to showcase IDF Chayalim. Some love! American Friends of LI #17 Join us in celebrating this momentous event.",Donate to LIBI today,,,image,entertainment,34268,498,53,211.38
enriched_ad_4011,campaign_025,Urgent Care,Schedule Your Visit Online PremiumU.com,,,,image,ecommerce,92079,1421,73,1554.24
enriched_ad_4012,campaign_038,Premium Urgent Care,,Schedule Your Visit Online,,,image,ecommerce,95574,1692,95,1122.23
enriched_ad_4013,campaign_025,AARP Minnesota,"We're local, here to connect you to what matters most. FIND US.",,,,image,ecommerce,41191,805,53,409.36
enriched_ad_4014,campaign_008,Discover new trends to Spring into New Design,,,,,image,design,51902,889,77,851.89
enriched_ad_4015,campaign_035,Memorial Day Specials at JESSUP's Maior Appliance Centers,Join us for our Memorial Day Sales Event! Enjoy exclusive in-store specials available until June 7th. Don't miss out on this limited-time offer.,Shop Now!,,,image,ecommerce,44129,849,56,580.18
enriched_ad_4016,campaign_023,Zacks' Super Strategy,+55.2% Gain from 2000 - 2022 Zacks' Super Strategy demolished the S&P 500 more than 8X over! See its latest stocks free.,,,,video,ecommerce,26726,465,26,408.25
enriched_ad_4017,campaign_016,Indis Shigo Weekly & Monthly Horoscopes,Subscribe to Indis for weekly and monthly horoscopes. Get free delivery directly to your mailbox.,Subscribe Now,,,image,entertainment,69496,1350,185,552.01
enriched_ad_4018,campaign_043,The Good Samaritan: A Lesson in Loving Others,Family News DVD! CBN Get your DVDs and instant streaming. Stream over 85 episodes!,,,,video,entertainment,24367,527,61,117.17
enriched_ad_4019,campaign_021,Buddy Guy - THE LEGEND,"Damn Right Farewell
BLUES AND GUITAR ICON
WITH SPECIAL GUEST:
ALLY VENABLE
godlied center of kansas
Monday NOV 6. 7:30
DX MIDCO.",,,,image,entertainment,90801,2127,387,590.95
enriched_ad_4020,campaign_043,The Sun Will Come Out,Annie TUESDAY I 7:00 NOV 28 M LIED CENTER,,,,image,,59490,1049,88,732.36
enriched_ad_4021,campaign_015,the latest look,Ashley for your new home,Shop Now,,,image,ecommerce,80410,918,68,1040.1
enriched_ad_4022,campaign_024,Ashley - Relax In Your Retreat,Shop Bedroom →,,,,image,ecommerce,95695,1792,106,942.54
enriched_ad_4023,campaign_042,Ashley Style Starts Here,,Find Nearest Store,,,image,ecommerce,39366,581,59,614.82
enriched_ad_4024,campaign_012,Ashley Upgrade Your New Space,,Shop Now,,,image,ecommerce,31782,502,46,454.95
enriched_ad_4025,campaign_003,Shop For Deeper Sleep,"Discover the ultimate comfort with our high-quality Tempur-Pedic mattresses. Shop for deeper, more restful sleep at Ashley.",Shop Now,,,image,ecommerce,87108,1766,138,1429.69
enriched_ad_4026,campaign_026,Shop Rugs - Free Shipping,,SHOP NOW,,,image,ecommerce,85521,1102,74,1310.25
enriched_ad_4027,campaign_014,SAVE UP TO 46% ON MIDWAY COLD STEEL,,SELECT SRK KNIVES SHIPS FREE NOW,,,image,ecommerce,69577,1272,99,790.2
enriched_ad_4028,campaign_031,Ashley Style Starts Here,,Find Nearest Store,,,image,ecommerce,25481,505,37,320.72
enriched_ad_4029,campaign_011,Ashley Upgrade Your New Space Shop Now,,Shop Now,,,image,ecommerce,78330,1271,72,847.36
enriched_ad_4030,campaign_045,Ashley | Tempur-Pedic,,Shop Now,,,image,ecommerce,55216,1115,89,781.44
enriched_ad_4031,campaign_040,Ashley Style Starts Here,,Find Nearest Store,,,image,ecommerce,96876,1692,102,1183.77
enriched_ad_4032,campaign_022,Ashley Tempur-Pedic,,Shop Now,,,image,ecommerce,92970,1674,138,924.72
enriched_ad_4033,campaign_050,Building a Brand with Bluehost,Bluehost makes it happen. Get Started.,,,,image,ecommerce,33694,628,65,524.38
enriched_ad_4034,campaign_002,LIVE TV,"TV THAT MAKES SENSE. Live TV plan only. Regional restrictions, blackouts and additional terms apply. Access content from each service separately. © 2023 Disney and its related entities.",GET LIVE TV NOW,,,image,entertainment,54356,825,107,465.74
enriched_ad_4035,campaign_001,Get Live TV Now Hulu,"Live TV plan only. Regional restrictions, blackouts and additional terms apply. Access content from each service separately.",,,,image,entertainment,26332,411,49,201.01
enriched_ad_4036,campaign_019,"Save Up To $45 on TLR 6, 7 & 8",,Shop Now,,,video,ecommerce,28584,543,40,322.18
enriched_ad_4037,campaign_003,GET MORE FROM IPAD,Combo Touch - now for iPad Pro and iPad (10th gen),SHOP NOW,,,image,ecommerce,97583,1321,73,1566.31
enriched_ad_4038,campaign_040,Every transaction has a story.,"Welcome to the human side of banking. Learn more Member FDIC @2023, TD Bank N.A. and/or its affiliates. All rights reserved. The TD logo and other trademarks are owned by The Toronto-Dominion Bank and used under license. TD Bank",,,,image,finance,91865,933,37,2323.61
enriched_ad_4039,campaign_031,The Relentless Pursuit of What’s Possible,,,,,image,automotive,94240,1348,46,1868.97
enriched_ad_4040,campaign_021,Ashley - the Latest Look,Discover Ashley's new collection designed to elevate any living space. Perfectly curated pieces that bring modern elegance and comfort into every room.,Shop Now,,,image,ecommerce,97004,1262,108,1414.77
enriched_ad_4041,campaign_002,Ashley - Say I Do to Stylish New Look,,Shop Now,,,image,ecommerce,84769,1414,91,1232.82
enriched_ad_4042,campaign_037,Building a Brand? BlueHost Makes It Happen.,Bluehost makes it happen. Get started with Bluehost today and build your brand effortlessly!,Get Started,,,image,ecommerce,67736,992,94,704.71
enriched_ad_4043,campaign_028,Reach out to your friend who seems a little gloomy.,Learn more SEIZE THE AWKWARD ad Tendan JED,,,,image,entertainment,34453,585,90,191.95
enriched_ad_4044,campaign_041,Rule the Game,astro A30 Wireless XBOX/PS/Switch/PC/MOBILE+ Shop Now G Logitech,Shop Now,,,image,ecommerce,57966,1063,99,835.42
enriched_ad_4045,campaign_045,Ashley Are Trending,,Shop Now,,,image,ecommerce,69947,1221,119,1186.72
enriched_ad_4046,campaign_050,Experience the HONDA TAlon 1000,,,,,image,automotive,99968,1154,26,2151.04
enriched_ad_4047,campaign_002,Let your friend know you're there if they need to talk.,Learn more SEIZE THE AWKWARD ad NA Foundation Suicide Preveri JED,,,,image,healthcare,55905,703,44,1001.03
