ad_id,campaign_id,headline_text,body_text,call_to_action,platform,placement,ad_format,category,impressions,clicks,conversions,spend
enriched_ad_2001,campaign_022,AUDIO Revolutionizing Through Accuracy,,,,,image,entertainment,35877,701,124,211.12
enriched_ad_2002,campaign_007,Shandon - HOTEL & SPA,,Take Me to Shandon,,,image,ecommerce,39361,627,64,386.81
enriched_ad_2003,campaign_038,Build Your Dream Residence,ricresidences.com offers luxurious homes with unique designs. Discover your perfect home at RLC Residences.,Explore Now,,,image,real_estate,83516,1056,21,1779.87
enriched_ad_2004,campaign_022,New Book,The Fast Five shortcuts to deliciousness by Donna Hay. Discover quick and easy recipes that will make you fall in love with cooking again.,PURCHASE NOW AND RECEIVE BONUS GIFTS!,,,image,"food, entertainment",80999,1298,86,1149.56
enriched_ad_2005,campaign_023,Honor Those Who Have Touched Your Life,,,,,image,"news, obituaries",47077,752,55,512.22
enriched_ad_2006,campaign_002,YOUR AD COULD BE HERE!,,CLICK HERE TO ADVERTISE WITH US,,,image,ecommerce,70978,773,42,756.62
enriched_ad_2007,campaign_010,Solve Homework Problems Step-by-Step with Chegg,"Discover how you can easily learn and master your homework using the step-by-step solutions provided by Chegg. Get access to expert tutors who guide through each problem, ensuring that you're not just memorizing answers but truly understanding them.",Learn More About Chegg Study,facebook,,image,education,71451,1740,245,658.55
enriched_ad_2008,campaign_023,Digo - The True Premium,"The True Premium is the leading Hispanic audience platform in North America, reaching up to 51 million U.S. Hispanics with brand-safe and culturally relevant content.",,,,image,ecommerce,67987,1328,81,935.6
enriched_ad_2009,campaign_049,Does Anyone Actually Remember Farkman?,"Check it out, it's from like 2002.",,,,image,entertainment,76094,1317,255,382.39
enriched_ad_2010,campaign_016,Solve Homework Problems Step-by-Step with Chegg,"Discover how you can learn and master homework solutions using the step-by-step guidance provided by our experts. With access to millions of textbooks, videos, practice problems, study notes, and more.",Use Chegg Study Now!,facebook,,image,education,20463,429,48,167.31
enriched_ad_2011,campaign_036,Sign Up TO THE FLICKS EMAIL,,Learn More,facebook,,image,ecommerce,46860,698,38,478.15
enriched_ad_2012,campaign_013,Fill Your Cart with Color,,Shop Now → ebay,,,image,ecommerce,23381,331,29,338.56
enriched_ad_2013,campaign_014,Searching for a New Job?,,,,,image,employment,37844,469,47,680.15
enriched_ad_2014,campaign_032,INTERACT WITH GQ,,JOIN NOW,,,image,entertainment,75958,1262,183,499.78
enriched_ad_2015,campaign_024,"Ultralight, Calibre Specific Modular Moderators",,CLICK HERE,,,image,ecommerce,26228,346,35,456.46
enriched_ad_2016,campaign_031,"Ultralight, Calibre Specific Modular Modulators",,CLICK HERE,,,image,ecommerce,81329,1577,101,1262.48
enriched_ad_2017,campaign_046,"dpt Ultralight, Calibre Specific",,CLICK,,,image,,33771,594,56,434.92
enriched_ad_2018,campaign_045,Pro-Ject AUDIO SYSTEMS,,,,,image,entertainment,80713,1793,216,651.38
enriched_ad_2019,campaign_026,What's Up Doc?,"If you're in need of medical care, check out our comprehensive guide to the best doctors across 70 specialties in the Houston area.",LEARN MORE,,,image,healthcare,32665,333,17,531.58
enriched_ad_2020,campaign_042,"The Best of Fashion, Wellbeing and Women",,Read More,,,image,ecommerce,47721,961,57,661.46
enriched_ad_2021,campaign_008,Essential News from Around the World,,,,,image,entertainment,96664,2295,338,861.61
enriched_ad_2022,campaign_015,THINK OUTSIDE THE PASTA BOX,"CLICK HERE FOR PAFTA RECIPES
Ĕ INSPIRED TASTE",,,,image,food,96805,1297,165,922.28
enriched_ad_2023,campaign_032,The World's Most Accurate Forecaster,According to 2021 Forecast Watch report Get the app https://www.forecastwatch.com/AccuracyOverview2017-2020,Get the app,,,video,ecommerce,69419,1086,73,721.88
enriched_ad_2024,campaign_041,Offering Maximum Guaranteed Income in Retirement?,Clients can protect their future with our guaranteed income plans.,,,,image,finance,87392,834,24,2437.4
enriched_ad_2025,campaign_035,DOLN OLMAN LAW GROUP - A Personal Injury and Civil Trial Firm,"NO RECOVERY NO FEE PROMISE Offices in Clearwater, St. Petersburg & New Port Richey Click to Schedule a Free Consultation",Click to Schedule,,,image,legal services,54179,1129,84,670.68
enriched_ad_2026,campaign_023,Head Over Heels Photo,"Specializes in Weddings, Family Photos, Senior Portraits and Videography.",,,,video,ecommerce,54710,972,85,972.79
enriched_ad_2027,campaign_039,New Vibe,WEB DESIGN Affordable Genius Difficult Projects Welcome. Superior References.,Learn More,,,image,ecommerce,42310,668,62,520.34
enriched_ad_2028,campaign_037,AWARD WINNING International Moving Services,Best U.S. News Rankings Best Customer Service Newsweek statista,,,,image,ecommerce,32737,599,59,576.97
enriched_ad_2029,campaign_029,Free Dealer Price Quote,Get the best deal on a new car! Get your price quote today!,Get Free Quote,,,image,automotive,60282,709,22,1176.22
enriched_ad_2030,campaign_001,KENKEN KenKen. for your Mobile,"FREE DOWNLOAD for iPhone, iPad and Android GET IT NOW PLAY Bon",,,,video,entertainment,24685,573,66,183.33
enriched_ad_2031,campaign_005,Unlock Your Blog's True Revenue Potential,Get Started with Monetization Strategies for Maximum Earnings. Discover how to unlock your blog’s true revenue potential and start earning today.,GET STARTED,,,image,ecommerce,96810,1249,80,1417.16
enriched_ad_2032,campaign_032,Making A Difference,"Get involved! Mattresses by BJC Direct, Refloor - The Last Plock Holl Ever Bed.",,,,image,ecommerce,69759,740,53,1119.85
enriched_ad_2033,campaign_017,HEIN THE GLENN ARMENTOR LAW CORPORATION,"LEGAL AUTHORITY, LA FAYETTE. TIMES BEST BASED ON PUBLE VOTE THROUGH The Times Of Acodiono.",,,,image,legal services,29136,542,31,335.9
enriched_ad_2034,campaign_026,DO IT IN THE BACKSEAT,DOWNLOAD THE APP AND START DOING IT NOW. Blake’s LOTABURGER GETON Google Play Downed ON THE App Store,,,,video,ecommerce,56688,815,63,714.86
enriched_ad_2035,campaign_044,Expert Care at CHristus St.Vincents Mayo Clinic,"Right Here, right in the comfort of your home. Experience top-notch healthcare with CHRISTUS.",,,,image,healthcare,81685,1091,78,1713.61
enriched_ad_2036,campaign_030,Expert Care | Right Here at Home,CHRISTUS. ST. VINCENT MAYO CLINIC CARE NETWORK Member,,,,image,healthcare,58052,899,38,1245.62
