ad_id,campaign_id,headline_text,body_text,call_to_action,platform,placement,ad_format,category,impressions,clicks,conversions,spend
enriched_ad_3001,campaign_012,"564 G",".COM TACOM TACOMA4G.COM",Learn More,facebook,,image,ecommerce,45975,956,72,740.13
enriched_ad_3002,campaign_037,Discover the 100% Electric Solterra,"Subaru SOLTERRA Power On, ready to charge.",,,,image,automotive,93028,1450,47,1309.44
enriched_ad_3003,campaign_019,Minding the Generation Gap,Financial Literacy & Awareness VIRTUAL EVENT INSIDER WATCH NOW % + = men,,,,video,education,69232,2124,278,552.67
enriched_ad_3004,campaign_019,SpringOPEN HOUSE at The Residence,"The Residence is hosting an OPEN HOUSE for adults aged 55 and older. Join us on March 15th, from 1:00-3:00pm to experience our Lutheran SeniorLife Community in St. John.",Ask about our Move-in Specials,,,image,real_estate,83282,782,12,2432.16
enriched_ad_3005,campaign_016,Nominate,"A Butler County First Responder, Home Town Hero. Join the ranks of heroes in Butler County.",,,,image,entertainment,66277,1179,165,549.03
enriched_ad_3006,campaign_046,POWER PICKS,"$40,000 IN TOTAL PRIZES
PLAY FAST. WIN BIG WITH XFINITY.
PLAY FREE
Eligibility restrictions apply. Vold where prohibited. MAR. 17-APR. 3 - CBB See for",,,,video,entertainment,83749,1877,363,508.11
enriched_ad_3007,campaign_044,Watch,"Engaging expert insights and knowledge on cancer networks, available at your fingertips.",,,,video,ecommerce,46373,895,72,563.43
enriched_ad_3008,campaign_044,Can-Cover Network,Get complete coverage on the latest studies. Read now!,Read Now,,,image,education,35519,467,42,372.88
enriched_ad_3009,campaign_025,Dolly Parton's Talks About Marriage,,,,,image,entertainment,78976,1926,279,434.81
enriched_ad_3010,campaign_005,"Decamilla - Capital Management, Inc.","Established in 1998
Knowledge. Trust. Confidence. Duty.
An independent money management firm that adheres to a strict fiduciary standard.",,,,image,ecommerce,76388,1085,94,987.91
enriched_ad_3011,campaign_016,"TIRES AND OIL NEED CHANGING. YOUR HEADLIGHT BULBS DO, TOO.",,LEARN MORE,,,image,automotive,89096,1415,38,1362.59
enriched_ad_3012,campaign_050,Register for Powerful Perseverance,"JE COVID Read, Reflect, and Revive Your Faith This Lent NATIONAL Catholic REGISTER Get 6 Free Issues",,,,image,education,44556,853,72,470.88
enriched_ad_3013,campaign_033,New GBN SuperBook Rigs of the West Double-Feature DVD!,A LESSON IN GENEROSITY Plus an Easter double-feature. Get Your DVDs & Instant Streaming Special 5-Disc Offer! Shop Now,Shop Now,,,video,entertainment,20428,383,43,114.25
enriched_ad_3014,campaign_046,"MIRACLE, LIVING DIV",DuCTION RECEIVE Exclusive Teachings FROM CBN Each Month! BECOME A CBN Partner,BECOME A CBN PARTNER,,,image,education,74485,1469,188,843.51
enriched_ad_3015,campaign_035,HOTWHEELS MONSTER TRUCKS LIVE GLOW PARTY HO,,,,,image,entertainment,54927,1204,141,292.17
enriched_ad_3016,campaign_008,Monster John Paul Jones Arena Trucks Live Glow Party,,,,,image,entertainment,36796,535,57,278.94
enriched_ad_3017,campaign_009,Monster Trucks Live Glow Party,,,,,image,entertainment,29386,662,120,229.09
enriched_ad_3018,campaign_018,Every Truck Tells a Story. Make Yours a Strong One.,2023 SILVERADO,Learn More,,,image,automotive,88407,1082,20,1887.33
enriched_ad_3019,campaign_018,Every Truck Tells a Story. Make Yours a Strong One.,,Learn More,,,image,automotive,21549,300,11,340.98
enriched_ad_3020,campaign_046,Derrick Hand Hiring,"BLACK HAWK ENERGY SERVICES is now hiring for Floor Hand positions, suitable for all workover operations and pump operators.",,,,image,ecommerce,29622,349,35,285.74
enriched_ad_3021,campaign_045,"Do you need a new Heating & Air System? Get up to $1,500 off when you trade in your old system.",Take advantage of Bill's Cash For Clunkers. Click Here for more details,Click Here for more details,,,image,ecommerce,20119,370,22,237.73
enriched_ad_3022,campaign_043,March Madness Reese’s University Enrollment,,Enroll Today,,,image,education,65525,1016,150,783.38
enriched_ad_3023,campaign_038,Angi - Your Home for Everything Home,,Find Pros Now,,,image,ecommerce,89514,1724,119,1324.33
enriched_ad_3024,campaign_050,Leaving Egypt,Podcast featuring Singer/Songwriter Alex Mabey sharing how God’s voice guided her through her failed marriage and health struggles.,,,,image,entertainment,41296,659,61,211.11
enriched_ad_3025,campaign_025,Give Hope and Healing to the World,PROVIDE ESSENTIAL RELIEF AND RECOVERY GLOBALLY The Advance • Kind Katie : lhe fese Bds GIVE NOW,GIVE NOW,,,image,ecommerce,61965,1174,105,771.06
enriched_ad_3026,campaign_026,Join Our Team,,APPLY NOW ►,,,image,ecommerce,49707,559,53,642.14
enriched_ad_3027,campaign_002,Get Expert Answers Fast,Stuck on your homework? Snap a picture of the study question and get an expert answer fast with Chegg Study.,Use Chegg Study Now!,,,image,education,54198,938,125,431.17
enriched_ad_3028,campaign_049,Analytical SFC,As Easy As LC • LC/SFC switching capability • Small footprint Automated method scouting Learn More.,Click here,,,image,ecommerce,33193,446,38,582.59
enriched_ad_3029,campaign_012,Cross-Coupling with Millipore Sigma Ligands,"Discover our new ligands and iron precatalysts for cross-coupling reactions. Explore the latest offerings from SIGMA, including PR₂-PAd₂ compounds.",Explore Now,facebook,,image,ecommerce,23168,395,23,388.0
enriched_ad_3030,campaign_047,SPAL AUTOMOTIVE USA UNRIVALDED PERFORMANCE,"Experience the ultimate in automotive performance with SPAL's latest innovation - ElectriC COOLing Fans. Designed to elevate your driving experience, these fans ensure optimal cooling and efficiency for all vehicle types.",Shop Now,facebook,,image,automotive,90224,1025,26,1201.36
enriched_ad_3031,campaign_018,S Be More Than A Fan,,,,,image,,58124,914,44,870.78
enriched_ad_3032,campaign_041,What's Your Next Move?,Create your own headlines with Companies on the Move CRAIN'S CHICAGO BUSINESS,,,,image,ecommerce,22735,453,37,316.22
enriched_ad_3033,campaign_039,What's YOUR Next MOVE?,Create your own business headlines with Companies on the Move. Share Your News Now CRAIN'S CHICAGO BUSINESS,,,,image,ecommerce,80797,1212,90,1167.84
enriched_ad_3034,campaign_026,What's Your Next Move?,Create your own headlines with Companies on the Move,,,,image,ecommerce,26668,412,29,474.63
enriched_ad_3035,campaign_049,WHAT A WIN! Community,America KS Open CHIEFS CHECKING and a HIGH INTEREST SAVINGS ACCOUNT Get UP TO $250 APPLY NOW OFFER FER ENDS MAR 19 *Terms apply; minimum deposit required. Insured by NCUA.,APPLY NOW,,,image,ecommerce,70817,1401,104,1143.06
enriched_ad_3036,campaign_009,Free Webinar on Retirement Planning for Church Leaders,,Register Now,,,video,education,98277,2413,264,638.88
enriched_ad_3037,campaign_023,NEW 2023 Tax Guide,"NOW AVAILABLE
2025
ORDER TODAY
$29.95 OFF When you order the book & PDF PDF",,,,image,education,79712,1326,105,848.34
enriched_ad_3038,campaign_024,2min2x,,,,,image,healthcare,55257,712,31,1060.02
enriched_ad_3039,campaign_009,"Read, Reflect, And Revive Your Faith",Get 6 Free Issues REGISTERE National Catholic Register Read Faithfully This Lent,,,,image,education,95234,1406,200,1011.06
enriched_ad_3040,campaign_020,"FlexColor - New Technologies, Profound Effects",,,,,image,ecommerce,75931,1141,77,758.19
enriched_ad_3041,campaign_044,Best Coke. Ever?,#TakeATaste Taste you can't really taste ca-Coke ZERO SUGAR Coca-col alused under a,,,,image,food and beverage,38200,685,43,590.64
enriched_ad_3042,campaign_003,Explore Over 25 Million Homework Questions,Discover the answers to your toughest assignments with our comprehensive collection of explained solutions. Try Chegg StudyⓇ for all you need.,Try Chegg StudyⓇ,,,image,education,24322,588,71,269.0
enriched_ad_3043,campaign_010,CITYBEAT BEST OF CINCINNATI CELEBRATION,,,,,image,entertainment,36821,993,140,307.99
enriched_ad_3044,campaign_041,Your next apartment is a click away.,,,,,image,real_estate,71605,770,10,1407.04
enriched_ad_3045,campaign_042,WATCH AND DOWNLOAD KPRC2+,"Discover your favorite shows and movies with KPRC2+. Available on Roku, Fire TV, Smart TVs. Get it now!",DOWNLOAD NOW ON APP STORE OR GOOGLE PLAY,facebook,,video,entertainment,95284,1820,272,637.11
enriched_ad_3046,campaign_025,SHAZAM! FURY OF THE GODS ONLY IN CINEMAS,,Visit Site,,,image,entertainment,64005,1791,202,445.96
enriched_ad_3047,campaign_032,SHAZAM! FURY OF THE GODS,(UC) (SHAZAM!) Only in cinemas March 15 ©2003 Worth. VISIT SITE.,,,,image,entertainment,81086,1910,255,391.96
enriched_ad_3048,campaign_009,The FIND A BETTER YOU.,,,,,image,,49391,608,38,862.67
enriched_ad_3049,campaign_009,SKYWELLNESS™,*Terms & conditions apply. PRODUCT Consumer Survey of 2023 Product SLEEP gumm CBD (A) Motery Sleep CBD* SAVE NOW OFF SITEWIDE CODE: SLEEP30 5% OFF,SAVE NOW,,,image,ecommerce,98408,1222,68,1708.08
enriched_ad_3050,campaign_012,WEEK'S DIGITAL ISSUE!,CLCReative LOAFing,,,,image,entertainment,27191,455,56,225.49
enriched_ad_3051,campaign_027,Angi - All Your Home Needs,"All your home needs, all in one place. Find pros now.",,,,image,ecommerce,23358,279,18,255.53
enriched_ad_3052,campaign_012,MoneyControl Pro,,Subscribe Now,,,image,ecommerce,94101,1947,97,1438.64
enriched_ad_3053,campaign_001,LET YOURSELF GO,See the world with the most trusted voice in travel,,,,image,travel,38990,494,42,631.23
enriched_ad_3054,campaign_007,Drive $3,Use S3 as a Local Drive • Works with any S3-compatible service Free Starter Edition,,,,image,ecommerce,51958,814,71,562.63
enriched_ad_3055,campaign_023,S3 - Use it like your local drive,"Drive seamlessly using Amazon's cloud storage as if it's on your own computer. Works with any S3-compatible service, and even comes in free starter edition.",,,,image,ecommerce,63324,1256,94,928.55
enriched_ad_3056,campaign_040,The Consensus 2023 Agenda is Here,"First Look at The Consensus 2023 agenda, featuring keynotes and sessions scheduled for April 26-28 in Austin, Texas. Discover the full lineup of events.",,,,image,education,31216,707,77,215.6
enriched_ad_3057,campaign_042,"Find, Buy, Sell and Track Coins","The new way to collect. Find, buy, sell and track coins with Coin World+ Connect connecting collectors.",,,,image,ecommerce,78716,1027,74,984.13
enriched_ad_3058,campaign_021,Your News. Your Way.,Get the Daily Collegian and hundreds more,,,,image,education,26928,615,91,267.38
enriched_ad_3059,campaign_039,We must treat mental illness with the same urgency and immediate care as physical injury to reduce o,- ANTHONY HARTSOOK | Colorado Politics Support HB23-1130 A bipartisan solution to our mental health crisis. Brain Health Colorado,,,,image,healthcare,94654,1507,79,2422.56
enriched_ad_3060,campaign_042,STOP HIDDEN HEALTH CARE FEES,Support HB 1215 to stop hidden hospital fees and ensure health care without costs. 'HIDDEN' is unacceptable.,Learn More & Support HB 1215 NOW!,,,image,healthcare,69855,1333,96,1863.8
enriched_ad_3061,campaign_039,THE BIG EVENT IS COMING BACK!,"COLORADO POLITICS MARCH 23, 2023 BROWN PALACE HOTEL",CLICK HERE TO RESERVE TICKETS,,,image,entertainment,21361,483,49,135.99
enriched_ad_3062,campaign_037,TicketMaster - Buy Tickets for Every Play Today,The official marketplace of the Colts. Score tickets today.,Shop Now,,,video,ecommerce,30228,444,38,290.58
enriched_ad_3063,campaign_046,Colt for a Day,Sweepstakes Indiana Farm Bureau Insurance,,,,image,ecommerce,87165,1723,140,1361.12
enriched_ad_3064,campaign_021,Be There For Every Play,Score tickets today. The official marketplace for the Colts.,Shop Now,,,video,entertainment,43033,960,168,240.73
enriched_ad_3065,campaign_005,The Best News for Your Flock,"Backyard Poultry is the best newsletter providing you with top information on poultry health, feed, poultry breeds, and much more! Sign up for free to get all this great content.",Sign up for free today!,,,image,ecommerce,88480,1351,113,896.78
enriched_ad_3066,campaign_004,CSO,50 Nominations for the 2023 CSO50 Awards are open! AWARDS Deadline: 04.24.23,,,,image,ecommerce,29072,600,60,426.9
enriched_ad_3067,campaign_004,REIMAGINE YOUR CLOUD AND DATA STRATEGY,"ATTEND CIO's Future of Cloud & Data Summit APRIL 12, 2023 REGISTER",,,,image,education,79690,1384,163,790.07
enriched_ad_3068,campaign_007,Is Connected Construction Possible?,"From ancient Rome to modern technology, explore the possibilities.",Learn More,,,image,education,90427,1278,198,641.17
enriched_ad_3069,campaign_010,THE BEST SHOW IN THE MODULAR INDUSTRY,"RETURNS
2023 WORLD OF MODULAR ANNUAL CONVENTION & TRADESHOW REGISTER NOW & SAVE!
3/29 - 4/1 JOIN US!",REGISTER NOW & SAVE!,,,image,ecommerce,21370,436,34,294.22
enriched_ad_3070,campaign_024,Innovate faster with Xometry,"Discover the power of innovation by choosing high-quality, customized components that accelerate your projects. Start an instant quote today and see how we can help you.",Start Your Instant Quote,,,image,ecommerce,28861,445,39,404.18
enriched_ad_3071,campaign_032,Searching for a New Job?,,,,,image,employment,80753,1060,88,1390.54
enriched_ad_3072,campaign_016,All Corvettes Stored Indoors in America's Largest Chevy Showroom,,,,,image,automotive,35005,531,17,839.7
enriched_ad_3073,campaign_033,Injured? Call 854-Lawyers,"Responsible Attorney | David Hoffman
7087 Rivers Avenue
N. Charleston, SC 29406",,,,image,law_firm_legal_services,20442,394,40,256.38
enriched_ad_3074,campaign_040,C CLEKIS,"Call Clekis. We Listen to You.
Personal Injury Accidents
• Worker's Compensation.
• Wrongful Death.",,,,image,"legal services, personal injury law",61961,813,40,602.12
enriched_ad_3075,campaign_017,DreamWorks Puss in Boots The Last Wish,,Stream Now,peacock,,video,entertainment,48476,1238,229,377.81
enriched_ad_3076,campaign_031,New Technology Lab Podcast,The latest episode featuring Randy Johnston and Brian Tankersley is now available. Tune in every Saturday for more tech insights.,Listen Now,facebook,,image,entertainment,79393,1643,269,615.72
enriched_ad_3077,campaign_014,Committed to Building a Stronger Workforce,Cultivating homegrown talent to keep Colorado competitive.,Learn More,,,image,education,82351,1832,208,586.05
enriched_ad_3078,campaign_042,People The Move On,Showcase industry leaders and their careers Learn More HI El III,,,,image,,62555,1001,54,937.46
enriched_ad_3079,campaign_009,CRASH,,,,,image,,35870,716,61,489.22
enriched_ad_3080,campaign_036,"Collect Play, Win",Unlock experiences and cash prizes.,Sign Up Today,,,video,entertainment,76810,1807,263,608.56
enriched_ad_3081,campaign_006,UCONN HEALTH Minute,Treating Complex Spine Disorders,,,,image,healthcare,43440,435,22,1040.95
enriched_ad_3082,campaign_023,Enter for Your Chance to Win Rosi!,PBS KIDS Puzzle! Rules PUZZLE!,,,,image,entertainment,31112,772,104,181.45
enriched_ad_3083,campaign_022,Rise Above... American Underca,Premium Steering and Suspension for your ride.,,,,image,automotive,56854,689,19,1261.99
enriched_ad_3084,campaign_030,cure MULTIPLE ED,"EDUCATED PATIENT* MYELOMA SUMMIT SATURDAY April 8, 2023 11 AM ET | 8 AM PT Brandon Blue, M.D. Clinical Instructor Department of Malignant Hematology Moffitt Cancer Center Learn More",,,,image,healthcare,54809,974,41,1379.18
enriched_ad_3085,campaign_050,Improving Patient Lives,"improving patient lives is not what we do, it is who we are. MH life sciences knowledge that matters Explore more",,,,image,healthcare,33501,562,21,485.53
enriched_ad_3086,campaign_038,SALE ENDS MARCH 31ST! One-Month-Only Flash Sale,Window & Patio Door Renewal by Andersen. WINDOW REPLACEMENT in Andersen Company The Better Way to a Better Window,,,,image,ecommerce,83733,1723,90,1283.89
enriched_ad_3087,campaign_030,Barbara Weinstock Lectures on the Morals of Trade,"Slavery in the Economy
of the Anthropocene
Lecture by Kevin Bales
March 14 & 15, 2023, 4:10 P.M.
Alumni House, Toll Room
UC Berkeley Campus
Berkeley Graduate Division",,,,image,education,34225,731,74,400.08
enriched_ad_3088,campaign_024,Dot Recs - Safe Shopping,It's dangerous to shop alone. dot recs DotRecs offers in-depth reviews of everything worth your cash on the internets.,Learn More,,,image,ecommerce,31299,531,36,456.87
enriched_ad_3089,campaign_033,Start your day,with the best (and worst) of internet culture. Stay in the know with Daily Dot's Internet Insider newsletter.,Learn More,,,image,entertainment,97150,1859,331,723.28
enriched_ad_3090,campaign_008,Give your business more flexibility with this connectivity.,TELKOM BUSINESS T&C APPLY. E&OE,CALL ME BACK ►,,,image,ecommerce,25452,324,30,368.62
enriched_ad_3091,campaign_024,Admissions Open 2023,"SATHYABAMA Institute of Science and Technology (DEEMED TO BE UNIVERSITY) offers Admissions for the following courses in Engineering, Architecture I Management, Arts & Sciences I Law Identification | Pharmacy. Nursing | Physiotherapy.",,,,image,education,77431,1873,151,832.49
enriched_ad_3092,campaign_005,black hat ASIA 2023,"May 9-12, 2023 MARINA BAY SANDS/SINGAPORE LEARN MORE",,,,image,entertainment,68746,1500,186,606.97
enriched_ad_3093,campaign_028,excool - advanced data center cooling,The most advanced Data Center Cooling in the world. Experience unparalleled efficiency and performance with excool.,,,,image,ecommerce,32530,523,45,542.13
