ad_id,campaign_id,headline_text,body_text,call_to_action,platform,placement,ad_format,category,impressions,clicks,conversions,spend
enriched_ad_6001,campaign_010,"WHITE MOTORS, INC BUICK GMC THVARKET SHOP NOW",,Shop Now See dealer for details.,,,image,automotive,88329,953,30,1529.01
enriched_ad_6002,campaign_050,SIMSOIL TOYOTIRES MENZIES WIN SCOREBAJA 500,,Learn More,,,image,ecommerce,92357,1675,93,1146.06
enriched_ad_6003,campaign_037,LEGO,+ 41% helicopter Animals with a bit extra Creative builds made of multiple sets. Free building instructions on LEGO.com Ⓒ2023 The LEGO Group.,Learn More,,,image,ecommerce,26706,536,50,361.65
enriched_ad_6004,campaign_030,The new 2023 Sprinter All-Wheel-Drive,,Learn More,,,image,automotive,59776,858,32,1334.93
enriched_ad_6005,campaign_036,Stream Every Season,,Try It Free,,,video,entertainment,47410,1517,214,328.06
enriched_ad_6006,campaign_050,FIERCE GIRL LET ME TELL YOU,Discover Tampax - Tampon Truths presented by Tampax.,,,,image,ecommerce,64086,690,40,718.36
enriched_ad_6007,campaign_043,Cabela's INTENSITY PERFORMANCE CLARITY VALUE UPGRADE YOUR OPTICS SHOP NOW,,Shop Now Am S,,,image,ecommerce,58502,820,45,865.33
enriched_ad_6008,campaign_049,WHO DO YOU TRUST,Markel Stides - Secret Invasion June 21 Disney+ SIGN UP NOW AND,,,,image,entertainment,32219,563,59,285.27
enriched_ad_6009,campaign_013,Well-fed FOR your WELL-BEING. Give back to yourself,Give back to yourself by giving your hens Purina* Layena layer feed for better eggs.,Learn More ,,,image,ecommerce,54129,852,82,821.43
enriched_ad_6010,campaign_029,Building a Brand with Bluehost,Bluehost makes it happen. Get Started,,,,image,ecommerce,84548,1605,147,1446.73
enriched_ad_6011,campaign_015,The Future Starts Now,Discover the power of xfinity's 10G network. Experience unparalleled connectivity and speed.,Shop Now,facebook,,image,ecommerce,74908,1317,80,1059.13
enriched_ad_6012,campaign_034,CARLISLE CHRYSLER NATIONALS JUNE FAIRGROUNDS,"JULY 14-16 CARLISLE PA FAIRGROUNDS SPECTATOR TICKETS BUY NOW AND SAVE! RLISLE Exits COM/CARLISLE, P LEARN MORE",BUY NOW AND SAVE!,,,image,entertainment,82849,1191,220,415.39
enriched_ad_6013,campaign_017,CONNECTIVITY,Learn More >>< Sub-GHZ FlexPIFA Antennas Coverage Performance Reliable Laird CON FlexPIFA EFREMSA MFA Digi-Key AUTHORIZED DISTRIBUTOR Schedule Shipments,,,,image,ecommerce,85716,1737,162,1535.81
enriched_ad_6014,campaign_019,ANALOG DEVICES AHEAD OF WHAT'S POSSIBLE,Authorized Distributor Digi-Key Electronics. Reduce Both Battery Drain and System Noise with MAX25263/2 Mini Buck Converters.,Access to Your Stock Now!,,,image,"ecommerce, electronics",28147,483,26,477.9
enriched_ad_6015,campaign_004,CONNECTIVITY,Sub-GHZ FlexPIFA Antennas Coverage Performance Reliable AGEN Digi-Key ELECTRONICS AUTHORIZED DISTRIBUTOR Schedule Shipments Learn More >>,,,,image,electronics,56460,1127,99,744.35
enriched_ad_6016,campaign_042,Challenge World Championship All Episodes Now Streaming Exclusively On,,Try It Free,,,video,entertainment,35690,1024,157,267.94
enriched_ad_6017,campaign_023,Get your Whopper BURGER KING,Order Now At participating U.S. Burger King' s restaurants.,Order Now,,,image,ecommerce,62341,826,52,945.52
enriched_ad_6018,campaign_048,Game of Thrones,HBO Original | the one to watch for every kind of gamer MAX SIGN UP NOW STARTING AT $900/MONTH Subscription Required. Visit max.com,MAX SIGN UP NOW,,,video,entertainment,41876,1492,179,221.21
enriched_ad_6019,campaign_040,Winning Time: The Rise of the Lakers Dynasty,"the one to watch when you got game
max",SIGN UP NOW,,,video,entertainment,22912,421,60,177.36
enriched_ad_6020,campaign_022,Wharton Strategy and Innovation Programs,Explore our Executive Education programs that are LIVE online as well as on campus.,Apply Now >,,,image,education,90491,2171,222,951.03
enriched_ad_6021,campaign_031,Next Level Range Rover Sport,,,,,image,automotive,86473,1420,37,1930.11
enriched_ad_6022,campaign_021,Extend Canva,The first step to creating beautiful designs with ease. Developers can easily integrate and customize their projects.,,,,image,ecommerce,88838,1711,169,1044.45
enriched_ad_6023,campaign_030,Oracles NetSuite CFOs,Improve Your KPIs and Business Processes Download Guide,,,,image,ecommerce,58311,834,68,867.56
enriched_ad_6024,campaign_025,Expand Your Options Knowledge,With advanced analysis tools on Option Station® Pro. TradeStation Learn More,,,,image,ecommerce,51353,641,30,519.49
enriched_ad_6025,campaign_031,Explore Options on Large Cap Stocks and More,"With advanced analysis tools, you can dive into the world of options trading. Discover how to leverage your investments with our comprehensive platform.",Get Started,facebook,,image,ecommerce,70002,1219,68,943.12
enriched_ad_6026,campaign_022,All Episodes TRUE L SO HELP Me To00 EAST New York OCBS STREAMING On,,TRY IT FREE,,,video,entertainment,82742,2285,305,558.66
enriched_ad_6027,campaign_026,CBS Original Fire Country,All episodes available for streaming on Paramount+.,Try it free,facebook,,video,entertainment,37342,1192,188,300.39
enriched_ad_6028,campaign_038,All-day hydration with broad spectrum sun protection,BUY NOW! CeraVe DEVELOPED WITH DERMATOLOGISTS MIDES CeraVe AM Facial Moisturizing Lotion SPF 30,BUY NOW!,,,image,ecommerce,80363,883,88,1342.46
enriched_ad_6029,campaign_040,New Season of iCarly Now Streaming,Original #IYKYK is now streaming exclusively on mount+. Try it free.,Try It Free,mount+,,video,entertainment,74721,1496,250,438.11
enriched_ad_6030,campaign_014,Star Trek Strange New Worlds,New Season Now Streaming Exclusively on Paramount+. Try it free.,Try It Free,instagram,,video,entertainment,65606,1600,278,449.14
enriched_ad_6031,campaign_014,Shazam! Fury of the Gods,the one to watch with your squad STUDE SY VZZ INTRODUCING MAX SIGN UP NOW STARTING AT $9⁹9/MONTH Subscription Required. Visit max.com,SIGN UP NOW,,,video,entertainment,52603,1331,226,258.89
enriched_ad_6032,campaign_007,Cozy Night In and A Coke,,Learn More,,,image,entertainment,91552,2375,380,564.91
enriched_ad_6033,campaign_014,Get Started with Bluehost,"Bluehost makes building your online presence easy. Whether you're starting from scratch or looking to enhance an existing site, our services are designed for seamless integration and top-notch performance.",Learn More About BlueHost Services,,,image,ecommerce,91804,1265,69,1372.17
enriched_ad_6034,campaign_013,SIEMENS SIRIUS Modular,Modular and Easy-to-Integrate Digi-Key Schedule Shipments Learn More > Authorized Distributor,> Learn More,,,image,ecommerce,96407,1360,139,1004.53
enriched_ad_6035,campaign_037,Book Now,City Cruises by Hornblower ΤΗ,,,,image,entertainment,33961,653,94,238.84
enriched_ad_6036,campaign_037,Discover Logitech Lift,Optimal 57° angle for day-long comfort. Vertical Ergonomic Mouse.,Learn More,,,image,ecommerce,87617,1781,122,1110.44
enriched_ad_6037,campaign_004,Catch Up On The Latest Seasons,"The Equalizer CSI: Vegas, SWAT OCBS Streaming on Try It Free",Try it free,facebook,,video,entertainment,34993,722,137,281.63
