iter	RMSE
0	0.2696627118
1	0.2473721803
2	0.2278173057
3	0.2143687429
4	0.1991311227
5	0.1832577525
6	0.1694620941
7	0.1565815006
8	0.1456503692
9	0.1359668755
10	0.127556832
11	0.1191455671
12	0.1098401959
13	0.1014461618
14	0.09594577802
15	0.08871700348
16	0.08233619097
17	0.07804727175
18	0.07257758172
19	0.06806453164
20	0.06432076105
21	0.0603318735
22	0.05678627676
23	0.05335159492
24	0.05007658264
25	0.04677954948
26	0.04444355572
27	0.04189792937
28	0.04034098104
29	0.03788981264
30	0.03624232795
31	0.03437874304
32	0.03320691842
33	0.03163937288
34	0.03037407228
35	0.02921854767
36	0.02841852153
37	0.027368859
38	0.0266917079
39	0.02611406289
40	0.02536657455
41	0.02493062279
42	0.02435395981
43	0.0237728072
44	0.02337105139
45	0.02300904014
46	0.02265499162
47	0.02226400095
48	0.02185296218
49	0.02156713585
50	0.02120335908
51	0.02094333006
52	0.02067871618
53	0.02048074031
54	0.02017188618
55	0.01994893667
56	0.01970867893
57	0.01944878181
58	0.01892617561
59	0.01866561372
60	0.01843587532
61	0.01823846845
62	0.01806501499
63	0.01791732618
64	0.01776609987
65	0.01762770456
66	0.0174957235
67	0.01725201705
68	0.0170911644
69	0.01698403168
70	0.01663388492
71	0.0165182313
72	0.01645200101
73	0.01636459894
74	0.01615515979
75	0.01605712028
76	0.01596770718
77	0.01583094151
78	0.01577082326
79	0.01572696902
80	0.01562558481
81	0.01554846025
82	0.01535123284
83	0.01527139622
84	0.01521031048
85	0.0151593925
86	0.01510193316
87	0.01506183151
88	0.01482838305
89	0.01467548478
90	0.01454945004
91	0.01439449758
92	0.01423183069
93	0.01401229838
94	0.01383074259
95	0.01358790721
96	0.01355776085
97	0.01350007559
98	0.01337914906
99	0.01332833199
