ad_id,headline_len,body_len,cta_len,headline_word_count,body_word_count,cta_word_count,headline_caps_ratio,body_caps_ratio,headline_has_numbers,body_has_numbers,headline_has_percent,body_has_percent,headline_urgency,body_urgency,headline_positive,body_positive,headline_exclamation,headline_question,body_exclamation,body_question,platform_encoded,ad_format_encoded,category_encoded,call_to_action_encoded,platform_smart speakers,ad_format_image,category_automotive,category_ecommerce,category_education,category_entertainment,category_healthcare,"category_healthcare, education",platform_facebook,platform_instagram,platform_format_interaction,impressions,clicks,conversions,spend,ctr,cvr,cpc,cpa,revenue_efficiency,cost_per_thousand_impressions,engagement_score,headline_len_x_ctr,body_len_x_cvr,platform_format_interaction,total_urgency_score,urgency_level,high_performer
enriched_ad_0001_original,24,124,0,3,21,0,1.0,0.12790697674418605,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,False,True,False,True,False,False,False,False,0,0,0,958,16,1,34.42995921711783,0.0176654182272159,0.0625,2.1518724510698646,34.42995921711783,0.02904447239376402,35.93941463164701,0.03559925093632954,0.4239700374531816,7.75,0,0,0,0
enriched_ad_0002_original,7,13,0,1,5,0,0.14285714285714285,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,False,True,False,True,False,False,False,False,0,0,0,1073,18,1,47.79341217040256,0.0174158022794211,0.05555555555555555,2.6551895650223645,47.79341217040256,0.020923385767783256,44.54185663597629,0.03267170358987488,0.12191061595594768,0.7222222222222222,0,0,0,0
enriched_ad_0003_original,54,119,0,8,23,0,0.17391304347826086,0.33707865168539325,0,1,0,0,0,1,0,1,1,0,0,0,0,0,3,0,False,True,False,False,False,True,False,False,0,0,0,870,20,1,39.915922972676306,0.0237532397254421,0.05,1.9957961486338154,39.915922972676306,0.02505265882701826,45.880371232961274,0.03425194383526527,1.2826749451738735,5.95,0,1,1,0
enriched_ad_0004_original,52,0,0,9,0,0,0.8571428571428571,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,True,False,True,False,False,False,False,0,0,0,1110,15,1,33.95610149824861,0.0140468701965142,0.06666666666666667,2.2637400998832407,33.95610149824861,0.029449788281837305,30.591082430854602,0.035094788784575184,0.7304372502187384,0.0,0,0,0,0
enriched_ad_0005_original,17,154,0,2,23,0,1.0,0.5398230088495575,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,True,False,True,False,False,False,False,0,0,0,1069,15,1,41.925789712480324,0.0144787644787644,0.06666666666666667,2.795052647498688,41.925789712480324,0.023851667597863363,39.21963490409759,0.03535392535392531,0.2461389961389948,10.266666666666666,0,1,1,0
enriched_ad_0006_original,20,41,0,3,6,0,0.17647058823529413,0.029411764705882353,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,False,True,False,False,False,False,True,False,0,0,0,1178,15,1,28.347145229352634,0.0134625604170357,0.06666666666666667,1.8898096819568422,28.347145229352634,0.035276920900116936,24.06379051727728,0.03474420291688809,0.269251208340714,2.7333333333333334,0,0,0,0
enriched_ad_0007_original,18,73,0,3,10,0,0.1875,0.031746031746031744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,True,False,True,False,False,False,False,0,0,0,930,9,1,26.505000142968928,0.0106192249344917,0.1111111111111111,2.9450000158854364,26.505000142968928,0.03772873022471095,28.50000015373003,0.05081597940513947,0.1911460488208506,8.11111111111111,0,0,0,0
enriched_ad_0008_original,17,55,0,2,11,0,0.1875,0.023255813953488372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,True,False,True,False,False,False,False,0,0,0,1066,15,1,40.94111760563955,0.014881801904663,0.06666666666666667,2.72940784037597,40.94111760563955,0.024425322474886525,38.40630169384573,0.035595747809464465,0.252990632379271,3.6666666666666665,0,0,0,0
enriched_ad_0009_original,24,104,0,4,13,0,0.19047619047619047,0.011235955056179775,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,True,True,False,True,False,False,False,False,0,0,0,961,11,1,25.762927577046778,0.0123558780216227,0.09090909090909091,2.342084325186071,25.762927577046778,0.0388154644696102,26.808457416281765,0.04377716317660999,0.2965410725189448,9.454545454545455,0,0,0,0
enriched_ad_0010_original,54,160,0,8,29,0,1.0,0.17829457364341086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,False,True,False,False,False,False,False,True,0,0,0,858,12,1,19.945446161423916,0.0140693254666137,0.08333333333333333,1.662120513451993,19.945446161423916,0.05013675762912136,23.24644074758032,0.04177492861330155,0.7597435751971398,13.333333333333332,0,0,0,0
